Rank,Brand,Memory,Storage,Rating,Selling Price,Original Price
1,OPPO,4 GB,64 GB,4.5,11990,15990
2,OPPO,4 GB,64 GB,4.5,11990,15990
3,OPPO,6 GB,128 GB,4.3,13990,17990
4,OPPO,6 GB,128 GB,4.3,13990,17990
5,OPPO,4 GB,64 GB,4.5,11990,15990
6,OPPO,6 GB,128 GB,4.3,13990,17990
7,OPPO,4 GB,64 GB,4.4,10490,11990
8,OPPO,3 GB,32 GB,4.4,9490,10990
9,OPPO,3 GB,32 GB,4.4,9490,10990
10,OPPO,3 GB,32 GB,4.4,9490,10990
11,OPPO,3 GB,32 GB,4.4,9490,10990
12,OPPO,4 GB,64 GB,4.4,10490,11990
13,OPPO,6 GB,128 GB,4.3,15990,16990
14,OPPO,6 GB,128 GB,4.3,15990,16990
15,OPPO,4 GB,64 GB,4.4,10490,11990
16,OPPO,8 GB,128 GB,4.3,17990,18990
17,OPPO,8 GB,128 GB,4.3,17990,18990
18,OPPO,3 GB,32 GB,4.3,10490,12990
19,OPPO,4 GB,64 GB,4.3,11960,12990
20,OPPO,4 GB,64 GB,4.3,11779,11919
21,OPPO,6 GB,128 GB,4.3,18979,18979
22,OPPO,2 GB,32 GB,4.2,8990,10990
23,OPPO,8 GB,128 GB,4.3,19990,25990
24,OPPO,4 GB,128 GB,4.3,15990,15990
25,OPPO,4 GB,64 GB,4.3,14990,14990
26,OPPO,8 GB,128 GB,4.3,29990,35990
27,OPPO,8 GB,128 GB,4.3,29990,35990
28,OPPO,8 GB,128 GB,4.3,19990,25990
29,OPPO,4 GB,64 GB,4.3,14990,14990
30,OPPO,4 GB,128 GB,4.3,15990,15990
31,OPPO,6 GB,128 GB,4.3,16990,17990
32,OPPO,6 GB,128 GB,4.3,16990,17990
33,OPPO,4 GB,64 GB,4.3,14990,14990
34,OPPO,8 GB,128 GB,4.3,19990,25990
35,OPPO,4 GB,64 GB,4.3,12199,12319
36,OPPO,8 GB,128 GB,4.3,21990,21990
37,OPPO,6 GB,128 GB,4.3,15999,15999
38,OPPO,4 GB,64 GB,,13850,13850
39,OPPO,2 GB,32 GB,4.2,8990,10990
40,OPPO,4 GB,128 GB,4.3,15990,15990
41,OPPO,8 GB,128 GB,4.4,35990,38990
42,OPPO,4 GB,64 GB,,13990,15990
43,OPPO,3 GB,32 GB,4.3,10990,12990
44,OPPO,6 GB,128 GB,4.2,16990,20990
45,OPPO,3 GB,32 GB,4.3,10990,12990
46,OPPO,4 GB,64 GB,4.5,13499,13499
47,OPPO,6 GB,128 GB,4.3,15999,15999
48,OPPO,6 GB,128 GB,4.3,18380,18380
49,OPPO,12 GB,256 GB,4.4,39990,46990
50,OPPO,6 GB,128 GB,4.3,16990,17990
51,OPPO,6 GB,256 GB,4.4,19990,19990
52,OPPO,6 GB,256 GB,4.4,19990,19990
53,OPPO,8 GB,256 GB,4.4,26798,28989
54,OPPO,6 GB,128 GB,4.2,16990,20990
55,OPPO,4 GB,64 GB,4.3,12990,13990
56,OPPO,4 GB,64 GB,4.3,12990,13990
57,OPPO,8 GB,256 GB,4.4,27990,35990
58,OPPO,8 GB,128 GB,4.3,21990,23990
59,OPPO,8 GB,256 GB,4.3,23490,25990
60,OPPO,8 GB,128 GB,4.3,25990,29990
61,OPPO,8 GB,128 GB,4.3,25990,29990
62,OPPO,4 GB,64 GB,4.3,12889,12989
63,OPPO,8 GB,128 GB,4.3,21990,23990
64,OPPO,8 GB,256 GB,4.3,23490,25990
65,OPPO,8 GB,256 GB,4.3,23490,25990
66,OPPO,8 GB,128 GB,4.3,21990,23990
67,OPPO,4 GB,64 GB,4.5,13499,13499
68,OPPO,6 GB,128 GB,4.2,19990,20990
69,OPPO,2 GB,32 GB,4,9989,9989
70,OPPO,8 GB,128 GB,4.4,24989,24989
71,OPPO,4 GB,64 GB,4.4,10990,18990
72,OPPO,3 GB,32 GB,4.3,11249,11249
73,OPPO,8 GB,128 GB,4.4,35990,38990
74,OPPO,6 GB,64 GB,4.4,24990,24990
75,OPPO,2 GB,32 GB,4.3,8990,12990
76,OPPO,8 GB,128 GB,4.4,29999,29999
77,OPPO,8 GB,256 GB,4.5,29489,29489
78,OPPO,12 GB,256 GB,4.4,39990,46990
79,OPPO,4 GB,128 GB,4.4,15990,20990
80,OPPO,6 GB,128 GB,4.2,19990,20990
81,OPPO,6 GB,64 GB,4.3,13990,20990
82,OPPO,6 GB,128 GB,4.2,20999,20999
83,OPPO,4 GB,128 GB,4.4,15990,20990
84,OPPO,8 GB,128 GB,4.4,24719,25489
85,OPPO,8 GB,128 GB,4.4,24768,24990
86,OPPO,4 GB,128 GB,4.3,14990,18990
87,OPPO,8 GB,256 GB,4.6,60990,60990
88,OPPO,8 GB,128 GB,4.4,34990,37990
89,OPPO,6 GB,128 GB,4.4,17990,23990
90,OPPO,4 GB,64 GB,4.4,15990,15990
91,OPPO,8 GB,128 GB,4.4,34990,37990
92,OPPO,8 GB,128 GB,4.4,34990,37990
93,OPPO,6 GB,128 GB,4.2,19990,20990
94,OPPO,4 GB,64 GB,4.4,10990,10990
95,OPPO,4 GB,128 GB,4.3,14990,18990
96,OPPO,8 GB,128 GB,4.4,21990,28990
97,OPPO,3 GB,64 GB,4.4,12990,14990
98,OPPO,4 GB,64 GB,4.3,17000,17000
99,OPPO,4 GB,64 GB,4,27500,27500
100,OPPO,4 GB,64 GB,4.4,15000,15000
101,OPPO,4 GB,64 GB,4.3,15000,15000
102,OPPO,4 GB,64 GB,4.3,18000,18000
103,OPPO,4 GB,128 GB,4.4,15990,20990
104,OPPO,4 GB,64 GB,4.3,15000,15000
105,OPPO,2 GB,16 GB,4.2,11000,11000
106,OPPO,6 GB,64 GB,4.3,23990,24667
107,OPPO,4 GB,64 GB,4.5,19000,19000
108,OPPO,8 GB,256 GB,4.5,29489,32990
109,OPPO,3 GB,32 GB,4.4,9490,12990
110,OPPO,4 GB,64 GB,4.3,13990,13990
111,OPPO,4 GB,32 GB,4.4,15500,15500
112,OPPO,6 GB,128 GB,4.3,17999,17999
113,OPPO,6 GB,128 GB,4.3,17999,17999
114,OPPO,3 GB,16 GB,4.4,9940,9940
115,OPPO,2 GB,32 GB,4.3,12990,12990
116,OPPO,1 GB,16 GB,3.8,10000,10000
117,OPPO,4 GB,64 GB,4.4,15726,15726
118,OPPO,4 GB,64 GB,4.3,18000,18000
119,OPPO,3 GB,16 GB,4.2,12500,12500
120,OPPO,3 GB,16 GB,4.2,12500,12500
121,OPPO,8 GB,128 GB,4.4,18990,22990
122,OPPO,8 GB,128 GB,4.4,18990,22990
123,OPPO,3 GB,32 GB,4.2,18000,18000
124,OPPO,6 GB,128 GB,4.3,13799,13799
125,OPPO,6 GB,128 GB,4.3,13899,13899
126,OPPO,8 GB,128 GB,4.3,15990,21990
127,OPPO,4 GB,128 GB,4.3,14990,18990
128,OPPO,8 GB,128 GB,4.4,25889,25889
129,OPPO,4 GB,64 GB,,13490,13490
130,OPPO,2 GB,32 GB,4.3,12990,4990
131,OPPO,2 GB,32 GB,4.3,8490,13400
132,OPPO,4 GB,64 GB,4.4,15677,15677
133,OPPO,2 GB,16 GB,4.2,10000,10000
134,OPPO,6 GB,64 GB,4.5,19990,25000
135,OPPO,3 GB,32 GB,4.3,12000,12000
136,OPPO,6 GB,64 GB,4.5,21150,21150
137,OPPO,3 GB,32 GB,4.4,14995,14995
138,OPPO,2 GB,16 GB,4.4,9500,9500
139,OPPO,6 GB,64 GB,4.5,21150,21150
140,OPPO,3 GB,32 GB,4.4,13750,13750
141,OPPO,3 GB,32 GB,4.4,12990,12990
142,OPPO,3 GB,32 GB,4.3,12990,12990
143,OPPO,2 GB,16 GB,4.4,9500,9500
144,OPPO,4 GB,32 GB,4.4,15000,15000
145,OPPO,4 GB,32 GB,4.4,15000,15000
146,OPPO,6 GB,128 GB,,19990,22990
147,OPPO,6 GB,128 GB,,19990,22990
148,OPPO,4 GB,32 GB,4.4,13500,13500
149,OPPO,4 GB,64 GB,4.4,15990,15990
150,OPPO,6 GB,128 GB,4.3,16990,19990
151,OPPO,3 GB,32 GB,4.3,10490,12990
152,OPPO,8 GB,128 GB,4.3,22990,22990
153,OPPO,8 GB,128 GB,4.3,22990,22990
154,OPPO,4 GB,128 GB,4.3,13489,13489
155,OPPO,2 GB,32 GB,4,8990,10990
156,OPPO,4 GB,128 GB,4.4,14990,17990
157,OPPO,4 GB,128 GB,,18490,18490
158,OPPO,8 GB,256 GB,4.4,27990,35990
159,OPPO,3 GB,64 GB,4.3,10990,16990
160,OPPO,2 GB,32 GB,4.3,7990,10990
161,OPPO,8 GB,128 GB,4.3,20990,20990
162,OPPO,8 GB,128 GB,4.3,20990,20990
163,OPPO,4 GB,128 GB,4.4,14990,17990
164,OPPO,4 GB,64 GB,4.4,10990,15990
165,OPPO,6 GB,64 GB,4.4,14990,14990
166,OPPO,4 GB,64 GB,4.4,10990,18990
167,OPPO,2 GB,16 GB,4.2,9990,9990
168,OPPO,4 GB,64 GB,4.3,13990,13990
169,OPPO,3 GB,64 GB,4.3,10990,16990
170,OPPO,3 GB,64 GB,4.4,14990,14990
171,OPPO,4 GB,64 GB,4.3,16990,16990
172,OPPO,4 GB,32 GB,4.4,19990,19990
173,OPPO,6 GB,64 GB,4.3,24990,24990
174,OPPO,3 GB,16 GB,4.4,10990,10990
175,OPPO,1 GB,16 GB,3.8,8490,8490
176,OPPO,4 GB,64 GB,4.4,14990,18990
177,OPPO,6 GB,64 GB,4.3,13990,20990
178,OPPO,8 GB,128 GB,4.2,30994,30994
179,OPPO,4 GB,64 GB,4.4,10990,15990
180,OPPO,4 GB,64 GB,4.5,17890,21990
181,OPPO,4 GB,64 GB,4.3,20990,20990
182,OPPO,3 GB,32 GB,4.2,14990,14990
183,OPPO,4 GB,128 GB,4.4,12990,16990
184,OPPO,4 GB,128 GB,4.4,12990,16990
185,OPPO,6 GB,64 GB,4.3,22990,22990
186,OPPO,6 GB,64 GB,4.3,22990,22990
187,OPPO,4 GB,64 GB,4.3,30990,30990
188,OPPO,4 GB,64 GB,4.4,22990,22990
189,OPPO,8 GB,128 GB,4.3,21999,21999
190,OPPO,4 GB,64 GB,4.4,22990,22990
191,OPPO,8 GB,128 GB,4.4,34990,37990
192,OPPO,4 GB,64 GB,4.4,22990,22990
193,OPPO,8 GB,128 GB,4.4,34990,37990
194,OPPO,4 GB,64 GB,4.4,22990,22990
195,OPPO,4 GB,64 GB,4.3,12990,12990
196,OPPO,6 GB,128 GB,4.5,14990,29990
197,OPPO,6 GB,128 GB,4.5,17990,29990
198,OPPO,1 GB,16 GB,3,21452,21452
199,OPPO,6 GB,128 GB,4.4,17990,23990
200,OPPO,4 GB,128 GB,4.4,13990,21990
201,OPPO,8 GB,128 GB,4.3,15990,21990
202,OPPO,1 GB,16 GB,3,24990,24990
203,OPPO,6 GB,64 GB,4.5,16990,28990
204,OPPO,6 GB,64 GB,4.5,16890,28990
205,OPPO,8 GB,128 GB,4.2,29999,29999
206,OPPO,8 GB,128 GB,4.3,15990,21990
207,OPPO,4 GB,128 GB,4.3,13489,13489
208,OPPO,4 GB,128 GB,4.3,13489,13489
209,OPPO,3 GB,16 GB,4.4,10990,10990
210,OPPO,3 GB,32 GB,4.3,17990,17990
211,OPPO,3 GB,32 GB,4.3,17990,17990
212,OPPO,6 GB,128 GB,4.4,17990,23990
213,OPPO,4 GB,64 GB,4.4,22990,22990
214,OPPO,4 GB,64 GB,4.4,22990,22990
215,OPPO,4 GB,64 GB,4.4,22990,22990
216,OPPO,8 GB,256 GB,4.6,60990,60990
217,OPPO,1 GB,16 GB,3.8,4999,7856
218,OPPO,6 GB,128 GB,4.5,27990,27990
219,OPPO,3 GB,16 GB,4.1,15739,15739
220,OPPO,8 GB,256 GB,4.4,38990,39990
221,OPPO,6 GB,128 GB,4.5,27990,27990
222,OPPO,1 GB,16 GB,3.8,4999,7490
223,OPPO,8 GB,128 GB,3.7,38999,38999
224,OPPO,2 GB,32 GB,4,9490,9500
225,OPPO,6 GB,128 GB,,27990,31990
226,OPPO,8 GB,128 GB,4.4,18990,22990
227,OPPO,6 GB,128 GB,4.5,38990,41990
228,OPPO,4 GB,128 GB,4.4,13990,21990
229,OPPO,12 GB,256 GB,4.4,41990,45990
230,OPPO,2 GB,16 GB,4.2,9990,9990
231,OPPO,3 GB,32 GB,4.2,12990,12990
232,OPPO,4 GB,64 GB,4,24900,24900
233,OPPO,3 GB,32 GB,4.4,13490,13490
234,OPPO,6 GB,128 GB,4.5,17990,29990
235,OPPO,4 GB,64 GB,4.3,18990,18990
236,OPPO,4 GB,64 GB,4.3,18990,18990
237,OPPO,4 GB,64 GB,4.3,18990,18990
238,OPPO,6 GB,128 GB,4.5,38990,41990
239,OPPO,8 GB,256 GB,4.4,41990,55990
240,OPPO,8 GB,256 GB,4.4,41990,55990
241,OPPO,2 GB,16 GB,4.2,9990,9990
242,OPPO,8 GB,256 GB,4.4,38990,39990
243,OPPO,2 GB,16 GB,3.1,9990,9990
244,OPPO,6 GB,128 GB,4.5,21990,27990
245,HTC,6 GB,128 GB,4.7,56990,56990
246,HTC,3 GB,32 GB,3.9,12999,12999
247,HTC,4 GB,128 GB,3.9,16999,16999
248,HTC,4 GB,128 GB,3.9,17999,17999
249,HTC,3 GB,32 GB,3.9,13999,13999
250,IQOO,8 GB,128 GB,4.4,34990,37990
251,IQOO,8 GB,128 GB,4.4,34990,37990
252,IQOO,8 GB,256 GB,4.4,37990,40990
253,IQOO,8 GB,256 GB,4.4,37990,40990
254,IQOO,12 GB,256 GB,4.4,39990,46990
255,Google Pixel,6 GB,128 GB,4.5,31999,31999
256,Google Pixel,4 GB,64 GB,4.5,44999,44999
257,Google Pixel,4 GB,64 GB,4.5,69999,69999
258,Google Pixel,4 GB,64 GB,4.5,44999,44999
259,Google Pixel,4 GB,64 GB,4.5,71000,71000
260,Google Pixel,4 GB,64 GB,4.5,71000,71000
261,Google Pixel,4 GB,128 GB,4.5,80000,80000
262,Google Pixel,4 GB,64 GB,4.6,83000,83000
263,Google Pixel,4 GB,64 GB,4.6,83000,83000
264,Google Pixel,4 GB,128 GB,4.6,92000,92000
265,Google Pixel,4 GB,128 GB,4.5,80000,80000
266,Google Pixel,4 GB,128 GB,4.5,80000,80000
267,Google Pixel,4 GB,128 GB,4.6,92000,92000
268,Google Pixel,4 GB,64 GB,4.6,83000,83000
269,Google Pixel,4 GB,64 GB,4.5,39999,39999
270,Google Pixel,4 GB,128 GB,4.5,76000,76000
271,Google Pixel,4 GB,128 GB,4.6,82000,82000
272,Google Pixel,4 GB,64 GB,4.6,61000,61000
273,Google Pixel,4 GB,128 GB,4.6,92000,92000
274,Google Pixel,4 GB,128 GB,4.6,70000,70000
275,Google Pixel,4 GB,128 GB,4.4,66000,66000
276,Google Pixel,4 GB,32 GB,4.4,57000,57000
277,Google Pixel,4 GB,128 GB,4.6,70000,70000
278,Google Pixel,4 GB,64 GB,4.5,39999,39999
279,LG,3 GB,32 GB,4,7690,7799
280,LG,6 GB,128 GB,4.4,44990,55000
281,LG,3 GB,64 GB,4,9990,9990
282,LG,1 GB,8 GB,4.2,15532,15532
283,LG,4 GB,64 GB,4,9999,9999
284,LG,4 GB,128 GB,4.1,10999,10999
285,LG,3 GB,64 GB,3.9,10990,14000
286,LG,6 GB,128 GB,4.4,44990,55000
287,LG,4 GB,64 GB,4,9999,9999
288,LG,4 GB,64 GB,3.8,14999,14999
289,LG,4 GB,64 GB,3.8,13775,14500
290,LG,2 GB,16 GB,4.1,5899,7833
291,LG,2 GB,16 GB,4,7999,7999
292,LG,3 GB,32 GB,3.9,6999,9999
293,LG,4 GB,64 GB,3.8,13998,13998
294,LG,2 GB,16 GB,4,7799,7799
295,LG,4 GB,64 GB,4,10499,10499
296,LG,4 GB,64 GB,4,24000,24000
297,LG,3 GB,32 GB,3.7,7299,7299
298,LG,3 GB,32 GB,3.9,8399,8399
299,LG,4 GB,64 GB,3.8,12950,12950
300,LG,6 GB,128 GB,4.4,55000,55000
301,LG,2 GB,16 GB,4.1,12999,12999
302,LG,3 GB,64 GB,3.9,10990,14000
303,LG,1 GB,8 GB,3.4,5000,11500
304,LG,4 GB,64 GB,3.8,12790,12790
305,LG,4 GB,64 GB,4.2,29199,29199
306,LG,6 GB,128 GB,4.4,27990,70000
307,LG,6 GB,128 GB,4.4,60000,60000
308,LG,2 GB,16 GB,4,9990,9990
309,LG,2 GB,16 GB,4.5,26299,26299
310,LG,4 GB,64 GB,4.4,50000,50000
311,LG,4 GB,64 GB,4.4,50000,50000
312,Google Pixel,2 GB,16 GB,4.3,25990,25990
313,LG,4 GB,32 GB,4,52990,52990
314,LG,4 GB,64 GB,3.9,19990,19990
315,LG,1 GB,8 GB,3.7,12500,12500
316,LG,6 GB,128 GB,4.2,29999,29999
317,LG,4 GB,128 GB,3.8,9499,18000
318,LG,4 GB,64 GB,4,8499,16000
319,LG,8 GB,128 GB,4.2,29999,80000
320,LG,6 GB,128 GB,3.7,10499,20000
321,LG,6 GB,128 GB,4.4,55000,55000
322,LG,1 GB,4 GB,4,12791,12791
323,LG,512 MB,4 GB,3.7,8800,8800
324,LG,2 GB,16 GB,3.8,5699,5699
325,LG,3 GB,16 GB,4.5,42021,42021
326,LG,512 MB,4 GB,4.5,10199,10199
327,LG,3 GB,32 GB,3.9,9999,9999
328,LG,4 GB,128 GB,4.3,29999,29999
329,LG,4 GB,128 GB,4.3,29999,29999
330,LG,2 GB,16 GB,4.5,31971,31971
331,LG,3 GB,32 GB,3.8,20000,20000
332,LG,3 GB,32 GB,4,16990,16990
333,LG,4 GB,64 GB,4.2,22990,55000
334,LG,2 GB,16 GB,4.1,7499,7499
335,LG,2 GB,16 GB,4.1,9990,9990
336,LG,8 GB,128 GB,4.2,29999,80000
337,LG,4 GB,64 GB,4.1,30990,30990
338,LG,6 GB,128 GB,4.4,55000,55000
339,LG,2 GB,16 GB,4,6980,6980
340,LG,3 GB,32 GB,4,16990,16990
341,LG,3 GB,32 GB,4,16990,16990
342,LG,3 GB,32 GB,3.3,9990,9990
343,LG,2 GB,16 GB,4,8499,8499
344,LG,3 GB,16 GB,4.1,14250,14250
345,Google Pixel,2 GB,32 GB,4.3,29990,29990
346,Google Pixel,2 GB,16 GB,4.3,25990,25990
347,LG,4 GB,64 GB,3.9,19990,19990
348,LG,1.5 GB,8 GB,4.1,6590,6590
349,LG,1 GB,8 GB,3.8,15999,15999
350,LG,6 GB,128 GB,,29999,29999
351,LG,4 GB,64 GB,3.9,19990,19990
352,LG,3 GB,32 GB,4,35990,35990
353,LG,3 GB,32 GB,4,35990,35990
354,LG,2 GB,16 GB,4.1,9999,9999
355,LG,3 GB,16 GB,3.8,9990,9990
356,Google Pixel,2 GB,16 GB,4.5,25400,25400
357,LG,2 GB,16 GB,4.1,8350,19000
358,LG,1 GB,8 GB,3.9,7000,17000
359,LG,1 GB,16 GB,3.6,7000,14990
360,LG,2 GB,16 GB,3.5,9999,9999
361,LG,512 MB,4 GB,3.9,6299,6299
362,LG,768 MB,4 GB,4,13299,13299
363,LG,4 GB,64 GB,4.2,31490,31490
364,LG,2 GB,16 GB,4.1,9000,9000
365,LG,4 GB,32 GB,4,22999,22999
366,LG,3 GB,32 GB,3.9,8199,10999
367,Google Pixel,2 GB,16 GB,4.5,12000,29990
368,LG,3 GB,32 GB,4,25999,25999
369,LG,4 GB,64 GB,4.2,24998,49999
370,LG,4 GB,64 GB,4.2,29790,29790
371,LG,4 GB,32 GB,4,25999,25999
372,LG,1 GB,4 GB,3.7,14162,14162
373,LG,1 GB,8 GB,4.1,13990,13990
374,LG,3 GB,32 GB,3.3,16790,16790
375,LG,3 GB,32 GB,3.3,16996,16996
376,LG,4 GB,64 GB,3.2,20998,20998
377,LG,4 GB,64 GB,3.2,21001,21001
378,LG,2 GB,16 GB,4,7990,7990
379,LG,4 GB,64 GB,3.2,11849,18990
380,LG,1 GB,8 GB,3.8,8000,8000
381,LG,1 GB,8 GB,3.8,8000,8000
382,LG,3 GB,32 GB,4,30600,30600
383,ASUS,8 GB,128 GB,4.3,49999,55999
384,ASUS,12 GB,128 GB,4.4,49999,57999
385,ASUS,4 GB,64 GB,4.3,15599,15599
386,ASUS,2 GB,16 GB,4.1,7999,7999
387,ASUS,8 GB,128 GB,4.4,46999,55999
388,ASUS,3 GB,32 GB,4.3,12999,12999
389,ASUS,6 GB,128 GB,4.5,36299,36299
390,ASUS,4 GB,64 GB,4.3,15599,15599
391,ASUS,6 GB,64 GB,4.3,35999,35999
392,ASUS,4 GB,64 GB,4.3,15599,15599
393,ASUS,1 GB,8 GB,3.9,5299,5299
394,ASUS,4 GB,64 GB,4.3,14999,14999
395,ASUS,6 GB,128 GB,4.5,36299,36299
396,ASUS,2 GB,32 GB,3.7,6999,6999
397,ASUS,2 GB,16 GB,3.8,8999,8999
398,ASUS,1 GB,8 GB,3.7,5299,5299
399,ASUS,1 GB,8 GB,3.8,5299,5299
400,ASUS,4 GB,64 GB,4.3,14999,14999
401,ASUS,2 GB,16 GB,4.2,7199,7199
402,ASUS,3 GB,32 GB,4.3,12999,12999
403,ASUS,3 GB,32 GB,4.1,10999,10999
404,ASUS,6 GB,64 GB,4.3,17999,17999
405,ASUS,6 GB,128 GB,4.3,38999,38999
406,ASUS,1 GB,8 GB,3.8,5699,5699
407,ASUS,8 GB,128 GB,4.6,40999,40999
408,ASUS,2 GB,16 GB,3.8,8499,8499
409,ASUS,2 GB,16 GB,4,6999,6999
410,ASUS,12 GB,256 GB,4.5,57999,63999
411,ASUS,2 GB,16 GB,4.2,7199,7199
412,ASUS,3 GB,32 GB,4.3,15999,15999
413,ASUS,1 GB,8 GB,3.9,5299,5299
414,ASUS,1 GB,8 GB,3.7,5299,5299
415,ASUS,2 GB,16 GB,3.6,5840,5840
416,ASUS,12 GB,256 GB,4.4,57999,65999
417,ASUS,1 GB,8 GB,3.8,5699,5699
418,ASUS,1 GB,8 GB,3.8,6299,6299
419,ASUS,1 GB,8 GB,3.8,5699,5699
420,ASUS,2 GB,16 GB,3.7,4990,4990
421,ASUS,2 GB,8 GB,4,4990,4990
422,ASUS,1 GB,8 GB,3.7,5299,5299
423,ASUS,1 GB,8 GB,3.8,6299,6299
424,ASUS,1 GB,8 GB,3.8,6299,6299
425,ASUS,1 GB,8 GB,3.8,4649,4649
426,ASUS,12 GB,256 GB,4.5,57999,63999
427,ASUS,8 GB,256 GB,4.3,43999,43999
428,ASUS,8 GB,256 GB,4.5,43999,43999
429,ASUS,6 GB,64 GB,4.3,35999,35999
430,ASUS,3 GB,32 GB,4.1,14499,14499
431,ASUS,2 GB,16 GB,4.1,6990,6990
432,ASUS,2 GB,16 GB,3.6,4999,4999
433,ASUS,6 GB,64 GB,4.3,17999,17999
434,ASUS,3 GB,32 GB,4.3,13199,13199
435,ASUS,1 GB,8 GB,3.6,4890,4890
436,ASUS,1 GB,8 GB,3.6,4890,4890
437,ASUS,2 GB,16 GB,4,4499,4499
438,ASUS,2 GB,32 GB,3.8,7300,7300
439,ASUS,2 GB,32 GB,3.8,7499,7499
440,ASUS,8 GB,128 GB,4.3,49999,55999
441,ASUS,4 GB,64 GB,4,9599,9599
442,ASUS,1 GB,8 GB,3.6,4890,4890
443,ASUS,3 GB,32 GB,4.3,12999,12999
444,ASUS,8 GB,128 GB,4.3,26499,83999
445,ASUS,3 GB,32 GB,4.2,9599,9599
446,ASUS,3 GB,32 GB,4,17999,17999
447,ASUS,1 GB,8 GB,3.6,4880,4880
448,ASUS,8 GB,256 GB,4.3,43999,43999
449,ASUS,6 GB,64 GB,4.3,17999,17999
450,ASUS,4 GB,64 GB,4.3,15599,15599
451,ASUS,3 GB,16 GB,4,13999,13999
452,ASUS,3 GB,16 GB,4,9999,9999
453,ASUS,3 GB,32 GB,4.3,13199,13199
454,ASUS,3 GB,16 GB,4,9999,9999
455,ASUS,3 GB,32 GB,4.2,9599,9599
456,ASUS,3 GB,32 GB,4,17999,17999
457,ASUS,2 GB,16 GB,3.9,15999,15999
458,ASUS,2 GB,16 GB,3.9,15999,15999
459,ASUS,3 GB,32 GB,4.1,10999,10999
460,ASUS,4 GB,64 GB,4.3,14999,14999
461,ASUS,3 GB,32 GB,4.1,10999,10999
462,ASUS,6 GB,64 GB,4.3,19999,19999
463,ASUS,8 GB,256 GB,4.3,43999,43999
464,ASUS,2 GB,16 GB,4.1,7499,7499
465,ASUS,8 GB,256 GB,4.5,43999,43999
466,ASUS,6 GB,128 GB,4.3,38999,38999
467,ASUS,16 GB,512 GB,,69999,75999
468,ASUS,2 GB,32 GB,4.1,8499,8499
469,ASUS,3 GB,16 GB,4,13999,13999
470,ASUS,4 GB,64 GB,4.3,17999,17999
471,ASUS,3 GB,32 GB,4.3,15999,15999
472,ASUS,12 GB,512 GB,4.6,62999,62999
473,ASUS,3 GB,32 GB,4.1,7990,7990
474,ASUS,2 GB,32 GB,3.8,6999,6999
475,ASUS,6 GB,64 GB,4.5,32999,32999
476,ASUS,3 GB,32 GB,4.3,13199,13199
477,ASUS,6 GB,64 GB,4.3,19999,19999
478,ASUS,18 GB,512 GB,,79999,85999
479,ASUS,2 GB,16 GB,3.9,15999,15999
480,ASUS,4 GB,64 GB,4.3,17999,17999
481,ASUS,2 GB,16 GB,4,7999,7999
482,ASUS,3 GB,32 GB,4,11999,11999
483,ASUS,4 GB,64 GB,3.6,37999,37999
484,ASUS,4 GB,128 GB,3.6,37999,37999
485,ASUS,3 GB,32 GB,4,7990,7990
486,ASUS,3 GB,32 GB,4,11999,11999
487,ASUS,2 GB,32 GB,4.1,7699,7699
488,ASUS,2 GB,16 GB,3.9,8499,8499
489,ASUS,3 GB,32 GB,4.1,8690,8690
490,ASUS,2 GB,16 GB,3.6,5990,5990
491,ASUS,3 GB,32 GB,4,14500,14500
492,ASUS,3 GB,16 GB,4,6749,6749
493,ASUS,2 GB,32 GB,4.1,6999,6999
494,ASUS,3 GB,16 GB,4,12490,12490
495,ASUS,2 GB,16 GB,4,7668,7668
496,realme,4 GB,64 GB,4.2,8799,9999
497,realme,2 GB,32 GB,4.3,7299,7999
498,realme,2 GB,32 GB,4.3,7299,7999
499,realme,4 GB,64 GB,4.4,14999,15999
500,realme,4 GB,64 GB,4.4,14999,15999

